27,CENTRO UNIVERSITARIO VALE DO RIO VERDE
131,FACULDADES INTEGRADAS DO ESTADO DE SAO PAULO
135,CLARETIANO  CENTRO UNIVERSITARIO
139,FACULDADE UNIBRASILIA DE CIENCIAS ECONOMICAS DE MINAS GERAIS
151,ESCOLA DE ADMINISTRACAO DE EMPRESAS DE SAO PAULO  FGV EAESP
159,FACULDADE NOVA ROMA CARUARU
166,FAI  CENTRO DE ENSINO SUPERIOR EM GESTAO TECNOLOGIA E EDUCACAO
224,CENTRO UNIVERSITARIO FMABC
282,FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS COSTA BRAGA
298,UNIVERSIDADE PITAGORAS UNOPAR ANHANGUERA
384,UNIVERSIDADE EVANGELICA DE GOIAS
461,CENTRO UNIVERSITARIO ARMANDO ALVARES PENTEADO
468,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITAPETININGA
473,FACULDADE DE CIENCIAS ECONOMICAS ADMINISTRATIVAS E DA COMPUTACAO DOM BOSCO
515,CENTRO UNIVERSITARIO ANHANGUERA PITAGORAS UNOPAR DE NITEROI
535,FUNDACAO FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE MANDAGUARI
554,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE BOA ESPERANCA
599,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DA BAHIA
600,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANHAO
601,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL
692,FACULDADE DE PETROLINA
727,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DO ALTO SAO FRANCISCO
738,CENTRO UNIVERSITARIO TERESA D'AVILA
898,CENTRO UNIVERSITARIO UNISAN
900,FACULDADE UNIRIO
926,CENTRO UNIVERSITARIO ANHANGUERA PITAGORAS UNOPAR DE CAMPO GRANDE
966,FACULDADE DE TURISMO  SANTOS DUMONT
1014,INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO  BOM JESUS - IELUSC
1058,CENTRO UNIVERSITARIO ESTACIO DA BAHIA
1065,FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTRATIVAS DE VILA VELHA
1076,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CAJAZEIRAS
1082,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE
1120,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA FLUMINENSE
1160,CENTRO UNIVERSITARIO CAMBURY
1166,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA  DA PARAIBA
1170,CENTRO UNIVERSITARIO FAMEC
1205,CENTRO UNIVERSITARIO FAEL
1215,FACULDADE ANGLO LATINO
1244,CENTRO UNIVERSITARIO MULTIVIX VITORIA
1257,"FACULDADE DE ADMINISTRACAO CIENCIAS, EDUCACAO E LETRAS"
1272,FACULDADE SANT¿ANNA DE SALTO
1300,INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH
