id,codigo,habilidade,campo_experiencia,unidade_tematica,componente_curricular_id,serie_ids
28,EI02CG03,"Explorar formas de deslocamento no espaço (pular, saltar, dançar), combinando movimentos e seguindo orientações.","Corpo, gestos e movimentos                                                                                                                                                                     ",,,{1}
652,EF07LI09,"Selecionar, em um texto, a informação desejada como objetivo de leitura.",,Práticas de leitura e pesquisa                                                                                                                                                                 ,7,{20}
489,EF15AR02,"Explorar e reconhecer elementos constitutivos das artes visuais (ponto, linha, forma, cor, espaço, movimento etc.).",,Artes visuais                                                                                                                                                                                  ,10,"{14,15,16,17,18}"
490,EF15AR03,"Reconhecer e analisar a influência de distintas matrizes estéticas e culturais das artes visuais nas manifestações artísticas das culturas locais, regionais e nacionais.",,Artes visuais                                                                                                                                                                                  ,10,"{14,15,16,17,18}"
107,EF15LP14,"Construir o sentido de histórias em quadrinhos e tirinhas, relacionando imagens e palavras e interpretando recursos gráficos (tipos de balões, de letras, onomatopeias).",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15,16,17,18}"
108,EF15LP15,"Reconhecer que os textos literários fazem parte do mundo do imaginário e apresentam uma dimensão lúdica, de encantamento, valorizando-os, em sua diversidade cultural, como patrimônio artístico da humanidade.",,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15,16,17,18}"
408,EF07LP09,"Identificar, em textos lidos ou de produção própria, advérbios e locuções adverbiais que ampliam o sentido do verbo núcleo da oração.",,Análise linguística/semiótica                                                                                                                                                                  ,6,{20}
411,EF07LP10,"Utilizar, ao produzir texto, conhecimentos linguísticos e gramaticais: modos e tempos verbais, concordância nominal e verbal, pontuação etc.",,Análise linguística/semiótica                                                                                                                                                                  ,6,{20}
421,EF07LP14,"Identificar, em textos, os efeitos de sentido do uso de estratégias de modalização e argumentatividade.",,Análise linguística/semiótica                                                                                                                                                                  ,6,{20}
57,EI02EF04,"Formular e responder perguntas sobre fatos da história narrada, identificando cenários, personagens e principais acontecimentos.","Escuta, fala, pensamento e imaginação                                                                                                                                                          ",,,{1}
645,EF07LI02,Entrevistar os colegas para conhecer suas histórias de vida.,,Interação discursiva                                                                                                                                                                           ,7,{20}
651,EF07LI08,Relacionar as partes de um texto (parágrafos) para construir seu sentido global.,,Estratégias de leitura                                                                                                                                                                         ,7,{20}
644,EF07LI01,"Interagir em situações de intercâmbio oral para realizar as atividades em sala de aula, de forma respeitosa e colaborativa, trocando ideias e engajando-se em brincadeiras e jogos.",,Interação discursiva                                                                                                                                                                           ,7,{20}
647,EF07LI04,"Identificar o contexto, a finalidade, o assunto e os interlocutores em textos orais presentes no cinema, na internet, na televisão, entre outros.",,Compreensão oral                                                                                                                                                                               ,7,{20}
495,EF15AR08,"Experimentar e apreciar formas distintas de manifestações da dança presentes em diferentes contextos, cultivando a percepção, o imaginário, a capacidade de simbolizar e o repertório corporal.",,Dança                                                                                                                                                                                          ,10,"{14,15,16,17,18}"
496,EF15AR09,Estabelecer relações entre as partes do corpo e destas com o todo corporal na construção do movimento dançado.,,Dança                                                                                                                                                                                          ,10,"{14,15,16,17,18}"
111,EF15LP18,Relacionar texto com ilustrações e outros recursos gráficos.,,Leitura/escuta (compartilhada e autônoma)                                                                                                                                                      ,6,"{14,15,16,17,18}"
100,EF15LP07,"Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.",,Produção de textos (escrita compartilhada e autônoma)                                                                                                                                          ,6,"{14,15,16,17,18}"
133,EF02LP07,"Escrever palavras, frases, textos curtos nas formas imprensa e cursiva",,Análise linguística/semiótica (Alfabetização)                                                                                                                                                  ,6,{15}
