"id","name","ibge_code"
"1","Abissínia",""
"2","Açores",""
"3","Afar Francês",""
"4","Afeganistão","4"
"5","Albânia","8"
"6","Alemanha","276"
"7","Alto Volta",""
"8","Andorra","20"
"9","Angola","24"
"10","Antártica Francesa",""
"11","Antártico Argentino",""
"12","Antártico Britânico, Território",""
"13","Antártico Chileno",""
"14","Antártico Noruegues",""
"15","Antígua E. Dep. Barbuda",""
"16","Antilhas Holandesas","530"
"17","Apátrida","339"
"18","Arábia Saudita","682"
"19","Argélia","12"
"20","Argentina","32"
"21","Armênia","51"
"22","Arquipélago de Bismark",""
"23","Arquipélago Manahiki",""
"24","Arquipélago Midway",""
"25","Aruba","533"
"26","Ascensão e Tristão da Cunha,is",""
"27","Ashmore e Cartier",""
"28","Austrália","36"
"29","áustria","40"
"30","Azerbaijão","31"
"31","Bahrein","48"
"32","Bangladesh","50"
"33","Barbados","52"
"34","Bashkista",""
"35","Bechuanalândia",""
"36","Bélgica","56"
"37","Belize","84"
"38","Benin",""
"39","Bermudas","60"
"40","Bhutan",""
"41","Birmânia",""
"42","Bolívia","68"
"43","Bósnia Herzegovina",""
"44","Botsuana",""
"45","Brasil","76"
"46","Brunei","96"
"47","Bulgária","100"
"48","Burkina Fasso",""
"49","Burundi","108"
"50","Buryat",""
"51","Cabo Verde","132"
"52","Camarões","120"
"53","Canadá","124"
"54","Carélia",""
"55","Catar","634"
"56","Cazaquistão","398"
"57","Ceilão",""
"58","Ceuta e Melilla",""
"59","Chade","148"
"60","Chechen Ingusth",""
"61","Chile","152"
"62","China","156"
"63","China (taiwan)",""
"64","Chipre","196"
"65","Chuvash",""
"66","Cingapura","702"
"67","Colômbia","170"
"68","Comunidade das Bahamas",""
"69","Comunidade Dominicana",""
"70","Congo",""
"71","Coréia",""
"72","Costa do Marfim","384"
"73","Costa Rica","188"
"74","Coveite",""
"75","Croácia","191"
"76","Cuba","192"
"77","Curaçao","531"
"78","Dagesta",""
"79","Daomé",""
"80","Dependência de Ross",""
"81","Dinamarca","208"
"82","Djibuti",""
"83","Eire",""
"84","Emirados árabes Unidos","784"
"85","Equador","218"
"86","Escócia",""
"87","Eslováquia","703"
"88","Eslovênia","705"
"89","Espanha","724"
"90","Estado da Cidade do Vaticano",""
"91","Estados Assoc. das Antilhas",""
"92","Estados Unidos da América (eua)","840"
"93","Estônia","233"
"94","Etiópia","231"
"95","Filipinas","608"
"96","Finlândia","246"
"97","França","250"
