"country_id","name","abbreviation","ibge_code"
"45","Acre","AC","12"
"45","Alagoas","AL","27"
"45","Amazonas","AM","13"
"45","Amapá","AP","16"
"45","Bahia","BA","29"
"45","Ceará","CE","23"
"45","Distrito Federal","DF","53"
"45","Espírito Santo","ES","32"
"45","Goiás","GO","52"
"45","Maranhão","MA","21"
"45","Minas Gerais","MG","31"
"45","Mato Grosso do Sul","MS","50"
"45","Mato Grosso","MT","51"
"45","Pará","PA","15"
"45","Paraíba","PB","25"
"45","Pernambuco","PE","26"
"45","Piauí","PI","22"
"45","Paraná","PR","41"
"45","Rio de Janeiro","RJ","33"
"45","Rio Grande do Norte","RN","24"
"45","Rondônia","RO","11"
"45","Roraima","RR","14"
"45","Rio Grande do Sul","RS","43"
"45","Santa Catarina","SC","42"
"45","Sergipe","SE","28"
"45","São Paulo","SP","35"
"45","Tocantins","TO","17"
